step,loss_conf_fat,loss_pred_conf,loss_pred_mode,confidence_level,fatigue_level,predicted_confidence,mode_error
128,0.000004,0.000026,0.667572,0.9970,0.7401,0.9919,0
129,0.000004,0.000025,0.666387,0.9970,0.7393,0.9920,0
130,0.000004,0.000025,0.665160,0.9970,0.7385,0.9921,0
131,0.000004,0.000024,0.663895,0.9970,0.7376,0.9921,0
132,0.000004,0.000023,0.662597,0.9971,0.7368,0.9922,0
133,0.000004,0.000022,0.661270,0.9971,0.7361,0.9923,0
134,0.000004,0.000022,0.659918,0.9971,0.7353,0.9924,0
135,0.000004,0.000021,0.658544,0.9971,0.7345,0.9925,0
136,0.000004,0.000021,0.657151,0.9971,0.7337,0.9926,0
137,0.000004,0.000020,0.655743,0.9971,0.7329,0.9927,0
138,0.000004,0.000019,0.654321,0.9972,0.7321,0.9927,0
139,0.000004,0.000019,0.652887,0.9972,0.7313,0.9928,0
140,0.000004,0.000018,0.651445,0.9972,0.7305,0.9929,0
141,0.000004,0.000018,0.649995,0.9972,0.7297,0.9930,0
142,0.000004,0.000018,0.648539,0.9972,0.7289,0.9930,0
143,0.000004,0.000017,0.647079,0.9972,0.7281,0.9931,0
144,0.000004,0.000017,0.645615,0.9973,0.7273,0.9932,0
145,0.000004,0.000016,0.644149,0.9973,0.7265,0.9932,0
146,0.000004,0.000016,0.642682,0.9973,0.7257,0.9933,0
147,0.000004,0.000016,0.641214,0.9973,0.7249,0.9933,0
148,0.000004,0.000015,0.639747,0.9973,0.7241,0.9934,0
149,0.000004,0.000015,0.638280,0.9973,0.7233,0.9935,0
150,0.000711,0.000000,0.708564,0.9991,0.6905,0.9978,1
151,0.000055,0.000002,0.709015,0.9991,0.7059,0.9977,1
152,0.000020,0.000002,0.709710,0.9992,0.7171,0.9977,1
153,0.000003,0.000002,0.710039,0.9992,0.7242,0.9978,1
154,0.000366,0.000030,0.633504,0.9975,0.7501,0.9937,0
155,0.000004,0.000012,0.633532,0.9976,0.7473,0.9941,0
156,0.000006,0.000012,0.632785,0.9976,0.7437,0.9941,0
157,0.000004,0.000012,0.631945,0.9975,0.7411,0.9941,0
158,0.000003,0.000012,0.631058,0.9975,0.7393,0.9941,0
159,0.000003,0.000012,0.630127,0.9975,0.7378,0.9941,0
160,0.000003,0.000011,0.629150,0.9975,0.7367,0.9942,0
161,0.000003,0.000011,0.628131,0.9975,0.7357,0.9942,0
162,0.000003,0.000011,0.627073,0.9975,0.7348,0.9942,0
163,0.000003,0.000011,0.625978,0.9975,0.7339,0.9943,0
164,0.000003,0.000011,0.624850,0.9976,0.7331,0.9943,0
165,0.000003,0.000010,0.623692,0.9976,0.7323,0.9943,0
166,0.000003,0.000010,0.622509,0.9976,0.7315,0.9944,0
167,0.000003,0.000010,0.621302,0.9976,0.7307,0.9944,0
168,0.000003,0.000010,0.620076,0.9976,0.7299,0.9944,0
169,0.000003,0.000010,0.618831,0.9976,0.7291,0.9944,0
170,0.000003,0.000010,0.617570,0.9976,0.7283,0.9945,0
171,0.000003,0.000010,0.616296,0.9976,0.7275,0.9945,0
172,0.000003,0.000009,0.615011,0.9976,0.7267,0.9945,0
173,0.000003,0.000009,0.613715,0.9976,0.7259,0.9946,0
174,0.000003,0.000009,0.612410,0.9976,0.7251,0.9946,0
175,0.000003,0.000009,0.611098,0.9976,0.7243,0.9946,0
176,0.000003,0.000009,0.609780,0.9976,0.7234,0.9947,0
177,0.000202,0.000000,0.728723,0.9993,0.7082,0.9982,1
178,0.000005,0.000001,0.729259,0.9993,0.7162,0.9982,1
179,0.000002,0.000001,0.729807,0.9993,0.7230,0.9982,1
180,0.000000,0.000001,0.730005,0.9993,0.7282,0.9983,1
181,0.000090,0.000020,0.605635,0.9978,0.7403,0.9949,0
182,0.000002,0.000008,0.605361,0.9978,0.7397,0.9950,0
183,0.000002,0.000008,0.604760,0.9978,0.7384,0.9950,0
184,0.000002,0.000008,0.604072,0.9978,0.7373,0.9950,0
185,0.000002,0.000008,0.603316,0.9978,0.7363,0.9950,0
186,0.000002,0.000008,0.602500,0.9978,0.7354,0.9951,0
187,0.000002,0.000007,0.601629,0.9978,0.7346,0.9951,0
188,0.000002,0.000007,0.600708,0.9978,0.7337,0.9951,0
189,0.000002,0.000007,0.599743,0.9978,0.7329,0.9951,0
190,0.000002,0.000007,0.598739,0.9978,0.7321,0.9951,0
191,0.000002,0.000007,0.597699,0.9978,0.7313,0.9952,0
192,0.000002,0.000007,0.596628,0.9978,0.7305,0.9952,0
193,0.000002,0.000007,0.595529,0.9978,0.7297,0.9952,0
194,0.000002,0.000007,0.594404,0.9978,0.7289,0.9952,0
195,0.000002,0.000007,0.593258,0.9979,0.7281,0.9952,0
196,0.000002,0.000007,0.592092,0.9979,0.7273,0.9953,0
197,0.000002,0.000007,0.590910,0.9979,0.7264,0.9953,0
198,0.000002,0.000007,0.589712,0.9979,0.7256,0.9953,0
199,0.000002,0.000007,0.588500,0.9979,0.7248,0.9953,0
200,0.000002,0.000006,0.587278,0.9979,0.7240,0.9953,0
201,0.000002,0.000006,0.586045,0.9979,0.7232,0.9953,0
202,0.000026,0.000000,0.745357,0.9994,0.7210,0.9985,1
203,0.000003,0.000001,0.746054,0.9994,0.7237,0.9985,1
204,0.000001,0.000001,0.746457,0.9994,0.7273,0.9985,1
205,0.000008,0.000015,0.582559,0.9980,0.7297,0.9955,0
206,0.000005,0.000006,0.582007,0.9980,0.7310,0.9955,0
207,0.000003,0.000006,0.581336,0.9980,0.7315,0.9955,0
208,0.000002,0.000006,0.580592,0.9980,0.7313,0.9956,0
209,0.000002,0.000006,0.579785,0.9980,0.7309,0.9956,0
210,0.000002,0.000006,0.578924,0.9980,0.7303,0.9956,0
211,0.000002,0.000006,0.578016,0.9980,0.7296,0.9956,0
212,0.000002,0.000006,0.577066,0.9980,0.7288,0.9956,0
213,0.000002,0.000006,0.576079,0.9980,0.7280,0.9956,0
214,0.000002,0.000006,0.575059,0.9980,0.7272,0.9957,0
215,0.000002,0.000005,0.574011,0.9980,0.7264,0.9957,0
216,0.000002,0.000005,0.572937,0.9980,0.7256,0.9957,0
217,0.000002,0.000005,0.571840,0.9980,0.7248,0.9957,0
218,0.000002,0.000005,0.570723,0.9980,0.7240,0.9957,0
219,0.000002,0.000005,0.569588,0.9980,0.7232,0.9957,0
220,0.000001,0.000000,0.757000,0.9994,0.7293,0.9986,1
221,0.000024,0.000013,0.567679,0.9981,0.7216,0.9958,0
222,0.000005,0.000000,0.758305,0.9994,0.7295,0.9986,1
223,0.000017,0.000013,0.566165,0.9981,0.7230,0.9959,0
224,0.000006,0.000000,0.759040,0.9995,0.7313,0.9987,1
225,0.000013,0.000013,0.564968,0.9981,0.7256,0.9959,0
226,0.000006,0.000005,0.564396,0.9981,0.7273,0.9959,0
227,0.000004,0.000005,0.563764,0.9981,0.7283,0.9959,0
228,0.000002,0.000005,0.563072,0.9981,0.7285,0.9959,0
229,0.000002,0.000005,0.562326,0.9981,0.7282,0.9960,0
230,0.000002,0.000005,0.561532,0.9982,0.7276,0.9960,0
231,0.000002,0.000005,0.560695,0.9982,0.7269,0.9960,0
232,0.000002,0.000005,0.559821,0.9982,0.7262,0.9960,0
233,0.000002,0.000005,0.558912,0.9982,0.7254,0.9960,0
234,0.000002,0.000005,0.557973,0.9982,0.7246,0.9960,0
235,0.000002,0.000005,0.557008,0.9982,0.7238,0.9960,0
236,0.000003,0.000000,0.765796,0.9995,0.7263,0.9987,1
237,0.000003,0.000012,0.555256,0.9982,0.7234,0.9961,0
238,0.000000,0.000000,0.766871,0.9995,0.7276,0.9988,1
239,0.000002,0.000011,0.553873,0.9982,0.7254,0.9961,0
240,0.000004,0.000004,0.553236,0.9982,0.7266,0.9961,0
241,0.000003,0.000004,0.552534,0.9982,0.7271,0.9961,0
242,0.000002,0.000004,0.551780,0.9982,0.7269,0.9962,0
243,0.000002,0.000004,0.550982,0.9982,0.7265,0.9962,0
244,0.000002,0.000004,0.550142,0.9982,0.7258,0.9962,0
245,0.000002,0.000004,0.549267,0.9982,0.7250,0.9962,0
246,0.000002,0.000004,0.548359,0.9982,0.7242,0.9962,0
247,0.000002,0.000004,0.547422,0.9983,0.7234,0.9962,0
248,0.000001,0.000000,0.772774,0.9995,0.7269,0.9988,1
249,0.000006,0.000010,0.545715,0.9983,0.7228,0.9963,0
250,0.000000,0.000000,0.773756,0.9995,0.7282,0.9988,1
251,0.000005,0.000010,0.544372,0.9983,0.7246,0.9963,0
252,0.000004,0.000004,0.543761,0.9983,0.7260,0.9963,0
253,0.000003,0.000004,0.543075,0.9983,0.7266,0.9963,0
254,0.000002,0.000004,0.542338,0.9983,0.7265,0.9963,0
255,0.000002,0.000004,0.541557,0.9983,0.7260,0.9964,0
256,0.000001,0.000004,0.540734,0.9983,0.7254,0.9964,0
257,0.000001,0.000004,0.539875,0.9983,0.7246,0.9964,0
258,0.000001,0.000004,0.538984,0.9983,0.7238,0.9964,0
259,0.000001,0.000004,0.538063,0.9983,0.7230,0.9964,0
260,0.000000,0.000000,0.779364,0.9995,0.7274,0.9989,1
261,0.000011,0.000009,0.536376,0.9983,0.7220,0.9965,0
262,0.000001,0.000000,0.780296,0.9995,0.7283,0.9989,1
263,0.000007,0.000009,0.535057,0.9984,0.7239,0.9965,0
