step,loss,confidence_level,fatigue_level
252,0.000066,0.9894,0.7682
253,0.000015,0.9963,0.7923
254,0.000064,0.9895,0.7681
255,0.000014,0.9963,0.7920
256,0.000062,0.9896,0.7681
257,0.000013,0.9963,0.7917
258,0.000060,0.9896,0.7681
259,0.000012,0.9964,0.7914
260,0.000059,0.9897,0.7681
261,0.000011,0.9964,0.7912
262,0.000057,0.9898,0.7680
263,0.000011,0.9964,0.7910
264,0.000056,0.9898,0.7680
265,0.000010,0.9965,0.7907
266,0.000055,0.9899,0.7680
267,0.000009,0.9965,0.7905
268,0.000054,0.9900,0.7680
269,0.000009,0.9965,0.7903
270,0.000053,0.9900,0.7680
271,0.000008,0.9965,0.7901
272,0.000052,0.9901,0.7680
273,0.000008,0.9966,0.7900
274,0.000051,0.9901,0.7680
275,0.000008,0.9966,0.7898
276,0.000050,0.9902,0.7680
277,0.000007,0.9966,0.7897
278,0.000049,0.9903,0.7680
279,0.000007,0.9966,0.7895
280,0.000048,0.9903,0.7680
281,0.000007,0.9967,0.7894
282,0.000047,0.9904,0.7680
283,0.000006,0.9967,0.7893
284,0.000047,0.9904,0.7680
285,0.000006,0.9967,0.7892
286,0.000046,0.9905,0.7680
287,0.000006,0.9967,0.7891
288,0.000045,0.9905,0.7680
289,0.000006,0.9967,0.7890
290,0.000045,0.9906,0.7680
291,0.000006,0.9968,0.7889
292,0.000044,0.9907,0.7680
293,0.000006,0.9968,0.7888
294,0.000044,0.9907,0.7680
295,0.000005,0.9968,0.7888
296,0.000043,0.9908,0.7680
297,0.000005,0.9968,0.7887
298,0.000042,0.9908,0.7680
299,0.000005,0.9969,0.7887
300,0.000042,0.9909,0.7680
301,0.000005,0.9969,0.7886
302,0.000041,0.9909,0.7680
303,0.000005,0.9969,0.7886
304,0.000041,0.9910,0.7680
305,0.000005,0.9969,0.7885
306,0.000040,0.9910,0.7681
307,0.000005,0.9969,0.7885
308,0.000040,0.9911,0.7681
309,0.000005,0.9970,0.7885
310,0.000040,0.9911,0.7681
311,0.000005,0.9970,0.7884
312,0.000039,0.9912,0.7681
313,0.000005,0.9970,0.7884
314,0.000039,0.9912,0.7681
315,0.000004,0.9970,0.7884
316,0.000038,0.9913,0.7681
